username,userid,profile_location,created_at,text,retweet_count,source,coordinates
THOUGHTYOUHADAFRIEND,298271767,Seattle,2011-05-14 01:11:10,Me &amp; @Official_Dmikey found a folder wit all the corona virus lockdown music we was makin 🤯🤯🤯🤯🤯,0,Twitter for iPhone,
Captain Dave,197296092,Seattle,2010-10-01 03:34:55,@ChrisAlvino @LauraMiers It's a constantly changing corona virus.  It has been known since 1952. That's why they al… https://t.co/bS00qE2wkH,0,Twitter Web App,
Creativity is a quiet mind and disciplined eye.🥑,29597605,"Seattle, WA",2009-04-08 01:03:13,@Yeahyeasuresure @MarioNawfal I'll take a stab at answering. Because Chinese scientists were working on bat Corona… https://t.co/nnWHMyRhbr,0,Twitter for Android,
DrFrootLoopz 🏳️,1181336803300667393,Seattle ,2019-10-07 22:33:51,@MarioNawfal They literally published on bat corona virus being augmented to fit ace2 receptors.,0,Twitter for iPhone,
